Id,Move,Type,RecordType,Priority,DateLastDone,ImageURL,Tags,Other Muscles,Primary Muscle,LearnedFrom,Description,State,CurrentRecReps
1,Pulling Wall-Lat Stretch,Stretch,Duration,3,12-21-21,,,Obliques,Lats,,,,
2,"Foot ""Pull"" w/ R Band Stretch",Stretch,Reps,3,12-22-21,,,Leg (whole),,James B.,"Let leg be pulled in position while lying down, breathe and relax.",,
3,Leaning Groin Stretch,Stretch,Reps,3,12-23-21,,,,,Dao M.,"Pigeon Pose, but on a raised soft surface",,
4,Hamstring V Sit Stretch,Stretch,Duration,3,12-24-21,,,,Hamstrings,Olivia S.,,,
5,Hip Flexor Stretch w/ Diagonal Back Leg,Stretch,Mixed,3,12-25-21,,,,,,,,
6,Serratus Foam Roller Stretch *Jesse,Stretch,Duration,3,12-26-21,,,,Serratus Anterior,Jesse R.,,,
7,Posterior Cuff w/ Elbow Ext. Rotation,Release,Duration,3,12-27-21,,,,,James B. ,,,
8,Psoas Ball lie-down,Release,Duration,3,12-28-21,,,,,,,,
9,Pec Minor Ball Release,Release,Duration,3,12-29-21,,,,Serratus Anterior,James B. ,,,
10,Pistol Squats w/ R Band,Strengthen,Reps,3,12-30-21,,,Leg (whole),,Andrew,,"Mobility, Balance",
11,Side Plank Clamshells,Strengthen,Reps,3,12-31-21,,,Obliiques,Glutes,Marissa H.,,,
12,Touch Knee Glute (Short RDL),Strengthen,Reps,2,1-1-22,,,,Glutes,Dr. Jo,,,
13,Elephant Walk,Strengthen,Reps,2,1-2-22,,,,,,,,
14,Nordic curls,Strengthen,Reps,3,1-3-22,,,,,,,,
15,Hang Stretches,Stretch,Duration,1,1-3-22,,,,"Chest, Serratus",,,,
16,Piriformis Release [Thrival],Release,Duration,1,1-3-22,,,,,,,,
17,Foundational 4 min exercise,Flow,Do,0,12-23-21,https://dsc.cloud/4a22b2/foundation-training.png,,,,,,,
18,Morn Yoga Flow (Kassandra) 15min,Flow,Do,0,12-24-21,https://dsc.cloud/4a22b2/cassandra.png,,,,,,,
19,Morning 3 Treasure (prioriity),Flow,Do,1,12-25-21,,,,,,,,
20,RingWork Combo (TBD),Flow,Do,3,12-24-21,,,,,,,,
21,Capoeira Flow (TBD),Flow,Do,3,12-24-21,,,,,,,,
22,BodyRoll,TechniqueRepeat,Duration,1,12-24-21,,,,,,,,
23,StrengthSideArms (3x30s),Flow,Do,0,12-24-21,,,,,,,,
